over,under
Wroxley Lithic Sandstone Member,Macqueen Member
Wuk Wuk Marl,Glencoe Limestone Member
Wuk Wuk Marl,Gippsland Limestone
Bairnsdale Limestone,Wuk Wuk Marl
Tambo River Formation,Wuk Wuk Marl
Wundowie Limestone Member,Amberoona Formation
Wundowie Limestone Member,Etina Formation
Wundowie Limestone Member,Weetootla Dolomite
Wunghnu Group,Murray Group
Wyandra Sandstone Member,Namur Sandstone
Doncaster Member,Wyandra Sandstone Member
Wyandra Sandstone Member,Murta Formation
Bulldog Shale,Wyandra Sandstone Member
Nura Nura Member,Wye Worry Member
Millajiddee Member,Wye Worry Member
Wye Worry Member,Grant Formation
Wylies Flat Coal Member,Glengowan Shale Member
Mount Minnie Group,Wyloo Group
Bresnahan Group,Wyloo Group
Edmund Group,Wyloo Group
Capricorn Group,Wyloo Group
Wyloo Group,Shingle Creek Group
Ashburton Formation,Wyloo Group
Bangemall Group,Wyloo Group
Silver Hills Volcanics,Wynyard Metamorphics
Yabooma Formation,Djabura Formation
Darbilla Formation,Yabooma Formation
Yackah beds,Mount Dobbie Granite
Yackah beds,Jervois Granite
Yardida Tillite,Yackah beds
Koolanock Sandstone,Yagon Siltstone
Yagon Siltstone,Booti Booti Sandstone
Yalco Formation,Donnegan Member
Yalco Formation,Hot Spring Member
Yallourn Formation,Traralgon Formation
Haunted Hills Formation,Yallourn Formation
Yalmy Group,Akuna Mudstone
Yalmy Group,Bogolo Formation
Yamba Formation,Blanchetown Clay
Bogan Gap Group,Garcia Sandstone
Bogan Gap Group,Palmer Sandstone
Flowerdale Formation,Bogan Gap Group
Cygnet Coal Measures,Bogan Gap Group
Clonbinane Member,Yan Yean Formation
Mount Phillipa Member,Yan Yean Formation
Humevale Siltstone,Yan Yean Formation
Euriowie Subgroup,Yancowinna Subgroup
Yandaminta Quartzite,Wyarra Shale
Yandicoogina Shale Member,Joffre Member
Yangalla Formation,Mulcatcha Formation
Amberoona Formation,Yankaninna Formation
Yankaninna Formation,Balcanoona Formation
Yankaninna Formation,Bolla Bollana Tillite
Coffin Hill Member,Yappar Member
Yappo Member,Bottletree Formation
Mount Guide Quartzite,Yappo Member
Scotts Craig Conglomerate,Yar Sandstone
Yardea Dacite,Nonning Rhyodacite
Yardea Dacite,Eucarro Rhyolite
Yardea Dacite,Wheepool Rhyolite
Yardinna Claystone,Etadunna Formation
Andamooka Limestone,Yarloo Shale
Coonardoo Sandstone,Yarrabandai Formation
Yarrabandai Formation,Cookeys Plains Formation
Jervoise Sandstone,Yarragadee Formation
Otorowiri Formation,Yarragadee Formation
Bunbury Basalt,Yarragadee Formation
Yarragadee Formation,Cadda Formation
Yarragadee Formation,Cattamarra Coal Measures
Yarragadee Formation,Cockleshell Gully Formation
Yarralumla Formation,Mount Painter Volcanics
Deakin Volcanics,Yarralumla Formation
Bellata Group,Boggabri Volcanics
Goonbri Formation,Boggabri Volcanics
Carrajung Volcanic Group,Yarram Formation
Lyons Group,Yarrawolya Formation
Yarrawolya Formation,Coomberarie Formation
Yarrawurta Shale,Andamooka Limestone
Mostyn Vale Formation,Yarrimie Formation
Noumea beds,Yarrimie Formation
Baldwin Formation,Yarrimie Formation
Pebbley Beach Formation,Yarrunga Coal Measures
Snapper Point Formation,Yarrunga Coal Measures
Yarrunga Coal Measures,Tallong Conglomerate
Deakin Volcanics,Yass Formation
Yass Formation,Hawkins Volcanics
Piebald Basalt,Yates Supersuite
Mount Elizabeth Caldera Complex,Boggy Plain Supersuite
McNamara Group,Yeldham Granite
Yellow Drum Formation,Gumhole Formation
Laurel Formation,Yellow Drum Formation
Yellow Drum Sandstone,Gumhole Formation
Laurel Formation,Yellow Drum Sandstone
Yellow Jacket Rhyolite,Gilberton Formation
Yelma Formation,Juderina Formation
Yelma Formation,Maraloou Formation
Yelma Formation,Finlayson Member
Frere Formation,Yelma Formation
Yelma Formation,Windplain Group
Yelma Formation,Yerrida Group
Sandison Subgroup,Yerelina Subgroup
Yerelina Subgroup,Upalinna Subgroup
Wilpena Group,Yerelina Subgroup
Yerelina Subgroup,Amberoona Formation
Yeringberg Formation,Wilson Creek Shale
Bogolo Formation,Adaminaby Group
Bogolo Formation,Narooma Chert
Quail Formation,Yindagindy Formation
Harris Sandstone,Yindagindy Formation
Lyons Group,Yindagindy Formation
Walker River Formation,Yiyintyi Sandstone
Alton Downs Basalt,Youlambie Conglomerate
Mount Salmon Volcanics,Youlambie Conglomerate
Muncon Volcanics,Youlambie Conglomerate
Youlambie Conglomerate,Lorray Formation
Yarrol Formation,Youlambie Conglomerate
Smoky beds,Youlambie Conglomerate
Winterbourne Volcanics,Youlambie Conglomerate
Inverness Volcanics,Youlambie Conglomerate
Callide Coal Measures,Youlambie Conglomerate
Dinner Creek Conglomerate,Youlambie Conglomerate
Youlambie Conglomerate,Marble Waterhole beds
Youlambie Conglomerate,Mount Hoopbound Formation
Youlambie Conglomerate,Balaclava Formation
Youlambie Conglomerate,Lochenbar Formation
Alberta Conglomerate,Yowahro Formation
Yudnamutana Subgroup,Burra Group
Yudnamutana Subgroup,Bungarider Subgroup
Nepouie Subgroup,Yudnamutana Subgroup
Anderson Formation,Yulleroo Formation
Cape Jervis Formation,Yuruga Formation
Yuruga Formation,Coobowie Limestone
Yarrawirrie Formation,Zamia Creek Siltstone
Zamia Creek Siltstone,Conway Formation
Keep Inlet Formation,Zimmermann Sandstone
Weaber Group,Zimmermann Sandstone
Border Creek Formation,Zimmermann Sandstone
Milyakburra Formation,Abarungkwa Sandstone
Abarungkwa Sandstone,Erringkarri Rhyolite
Abarungkwa Sandstone,Grindall Formation
Bickerton Rhyolite,Abarungkwa Sandstone
Adder Dacite,Hopscotch Rhyolite
Verdure Andesite,Adder Dacite
Adder Dacite,Muirson Rhyolite
Allsorts Rhyolite,Dalnotter Dacite
Allsorts Rhyolite,Hodgkinson Formation
Allsorts Rhyolite,Muirson Rhyolite
Allsorts Rhyolite,Rock Hole Rhyolite
Lappa Rhyolite,Allsorts Rhyolite
Gilbert River Formation,Almac Granodiorite
Coast Range Sandstone,Alyangula Subgroup
Alyangula Subgroup,Bustard Subgroup
Alyangula Subgroup,Milyema Formation
Bartalumba Basalt,Alyinga Sandstone
Alyinga Sandstone,Milyema Formation
Delaney Mudstone Member,Ambalindum Sandstone Member
Claraville Mudstone Member,Ambalindum Sandstone Member
Ambalindum Sandstone Member,Arunta Complex
Ulgnamba Lignite Member,Ambalindum Sandstone Member
Aroonbeta Rhyolite,Scrufflem Rhyolite
Lightning Creek Rhyolite,Aroonbeta Rhyolite
Wollenden Rhyolite,Aroonbeta Rhyolite
Rabbit Ears Sandstone,Arranoo Member
Arringunna Rhyolite,Combella Rhyolite
Arringunna Rhyolite,Fisherman Rhyolite
Nathan Group,Balma Group
Donydji Group,Balma Group
Balbirini Dolostone,Balma Group
Balma Group,Parsons Range Group
Balma Group,Fleming Sandstone
Dalumbu Sandstone,Bartalumba Basalt
Bartalumba Basalt,Milyema Formation
Bass Camp Ignimbrite,Bowen Track Ignimbrite
Bass Camp Ignimbrite,Minchin Ignimbrite
Douglas Ignimbrite,Bass Camp Ignimbrite
Beaufort Formation,Pitfield Volcanics
Pyrenees Formation,Beaufort Formation
Bedout Volcanics,Liveringa Group
Little River Subgroup,Berrmarr Subgroup
Beugamel Sandstone,Kadungle Volcanics
Bird Flat Volcanic Member,Beugamel Sandstone
Beugamel Sandstone,Euchabil Gap Formation
Billilingra Dacite Member,Colinton Volcanics
Bimmarn Ignimbrite,Doyle Gully Ignimbrite
Plumb Gully Ignimbrite,Bimmarn Ignimbrite
Bitter Ground Volcanics,Mile Road beds
Birdwood Formation,Bitter Ground Volcanics
Little River Subgroup,Black Satin Ignimbrite
Bluewater Rhyolite,Orient Rhyolite
Bluewater Rhyolite,Cummings Rhyolite
Bluewater Rhyolite,Bedlog Rhyolite
Bluewater Rhyolite,Hodgkinson Formation
Bogan Schist,Mount Royal Formation
Carolina Forest Formation,Bogan Schist
Boorabal Andesite,Balley Hooley Ignimbrite
McRaes Ignimbrite,Boorabal Andesite
Bowen Track Ignimbrite,Mackiesons Spur Ashstone
Bredbo Group,Yalmy Group
Brookong Formation,Baledmund Formation
Meryula Formation,Brookong Formation
Manga Mauda Member,Brumbreu Formation
Tomkinson Creek Group,Brumbreu Formation
Brumbreu Formation,Wundirgi Formation
Hayward Creek Formation,Brumbreu Formation
Woodah Sandstone,Bukudal Granite
Coast Range Sandstone,Bukudal Granite
Burunga Formation,Scotia Member
Burunga Formation,Muggleton Formation
Bustard Subgroup,Grindall Formation
Poynton Formation,Butler Creek Formation
Butler Creek Formation,Yandagooge Formation
Butler Creek Formation,Cassandra Member
Cable Beach Sand,Port Smith Sand
Shoonta Hill Sand,Cable Beach Sand
Eurimbla Formation,Cabonne Group
Hawkins Volcanics,Cabonne Group
Fosters Creek Conglomerate,Cabonne Group
Shivering Conglomerate,Cabonne Group
Cadjebut Formation,Gap Creek Formation
Cadjebut Formation,Emanuel Formation
Pillara Limestone,Cadjebut Formation
Camelback Member,Gellibrand Marl
Green Point Member,Camelback Member
Camelback Member,Greenways Member
Fairy Sandstone,Carson Creek Ignimbrite
Carysfort Quartzite,Astrea Formation
Newirie Formation,Carysfort Quartzite
Cato Volcanics,Yuduyudu Formation
Rorruwuy Sandstone,Cato Volcanics
Jalma Formation,Coast Range Sandstone
Coast Range Sandstone,Grindall Formation
Coast Range Sandstone,Gadabara Volcanics
Coast Range Sandstone,Haddon Volcanics
Cobbs Spur Andesite Breccia,Tobacco Creek Andesite
Nundooka Sandstone,Coco Range Sandstone
Combella Rhyolite,Fisherman Rhyolite
Kadungle Volcanics,Coonardoo Sandstone
Euchabil Gap Formation,Coonardoo Sandstone
Ballantyne Megabreccia,Currie Creek Ignimbrite
Dalnotter Dacite,Hodgkinson Formation
Dalnotter Dacite,Muirson Rhyolite
Dandan Andesite,Moonkan Ignimbrite
Mount McLeod Tonalite,Dandan Andesite
Dead Cattle Gully Ignimbrite,Statham Ignimbrite
Betts Creek beds,Deep Water Creek Granophyre
Ulgnamba Lignite Member,Delaney Mudstone Member
Delatite Group,Mansfield Group
Wellington Volcanic Group,Delatite Group
Mansfield Group,Delatite Group
Depot Springs Subgroup,Aruhna Subgroup
Gove Sandstone,Dhalinybuy Granite
Yanungbi Volcanics,Dhalinybuy Granite
Spencer Creek Group,Dhalinybuy Granite
Dhunganda Formation,Mirarrmina Complex
Ritarango Formation,Dhunganda Formation
Dhupuwamirri Member,Sheridan Member
Dingo Hill Lava,Devils Den Conglomerate
Djungan Volcanic Subgroup,Fisherman Rhyolite
Wakara Volcanic Subgroup,Djungan Volcanic Subgroup
Bondonga beds,Texas beds
Balma Group,Donydji Group
Donydji Group,Mirarrmina Complex
Parsons Range Group,Donydji Group
Doonarlik Ignimbrite,Dead Cattle Gully Ignimbrite
Doyle Gully Ignimbrite,Doonarlik Ignimbrite
Roper Group,Durabudboi beds
Eighty Mile Beach Coquina,Port Smith Sand
Shoonta Hill Sand,Eighty Mile Beach Coquina
Ellenborough Volcanics,Birdwood Formation
Kindee Conglomerate,Ellenborough Volcanics
Erringkarri Rhyolite,Grindall Formation
Erringkarri Rhyolite,Giddy Suite
Chace Quartzite Member,Bonney Sandstone
Rawnsley Quartzite,Bonney Sandstone
Bonney Sandstone,Wonoka Formation
Bonney Sandstone,Puttapa Conglomerate
Fermoy Volcanics,Edols Conglomerate
Yandagooge Formation,Fingoon Quartzite
Fingoon Quartzite,Larry Creek Formation
Fisherman Rhyolite,Timber Top Volcanic Subgroup
Alberga Limestone,Etadunna Formation
Buchan Group,Frying Pan Creek Ignimbrite
Gadabara Volcanics,Bradshaw Complex
Gadabara Volcanics,Woodah Sandstone
Gavin Rhyolite,Djungan Volcanic Subgroup
Glen Shiel Ignimbrite,Statham Ignimbrite
Tamala Limestone,Gnangara Sand
Gnangara Sand,Kings Park Formation
Gnangara Sand,Ascot Formation
Bassendean Sand,Gnangara Sand
Mount Mia Serpentinite,Gobongo Metamorphics
Gordon Creek Ignimbrite,Scorpion Creek Sandstone
Yuduyudu Formation,Gove Sandstone
Gove Sandstone,Yanungbi Volcanics
Green Point Member,Greenways Member
Bridgewater Formation,Green Point Member
Coomandook Formation,Green Point Member
Groote Eylandt Group,Grindall Formation
Woodah Sandstone,Grindall Formation
Jalma Formation,Grindall Formation
Gadabara Volcanics,Grindall Formation
Bradshaw Complex,Grindall Formation
Gunanya Sandstone,Pungkuli Formation
Waters Formation,Gunanya Sandstone
Gunanya Sandstone,Rudall Complex
Buckaroo Conglomerate,Boogledie Formation
Kardinya Shale Member,Henley Sandstone Member
Henley Sandstone Member,Wanneroo Member
Henley Sandstone Member,Pinjar Member
Willimigongong Ignimbrite,Hesket Ignimbrite
Highton Volcanics,Kevington Creek Formation
Highton Volcanics,Delatite Group
Mansfield Group,Highton Volcanics
Hopscotch Rhyolite,Muirson Rhyolite
Verdure Andesite,Hopscotch Rhyolite
Theodolite Rhyolite,Hopscotch Rhyolite
Woorinen Formation,Hughies Bore beds
Hyndmans Creek Formation,Pappinbarra Formation
Mingaletta Formation,Hyndmans Creek Formation
Rothlyn Formation,Ingalara Ashstone Member
Balbirini Dolomite,Jalma Formation
Balbirini Dolostone,Jalma Formation
Nathan Group,Jalma Formation
Yongala Volcanic Subgroup,James Creek Granite
Beapeo Rhyolite,James Creek Granite
Jamtin Rhyolite,Chillagoe Formation
Jamtin Rhyolite,Doolan Creek Rhyolite
Jellung Ignimbrite,Buchan Caves Limestone
Jellung Ignimbrite,McRaes Ignimbrite
Jellung Ignimbrite,Rankin Road Ignimbrite
Jellung Ignimbrite,Balley Hooley Ignimbrite
Moores Ford Andesite,Jellung Ignimbrite
Spring Creek Member,Jellung Ignimbrite
Bookpurnong Formation,Murray Group
Bookpurnong Formation,Loddon River Group
Bookpurnong Formation,Duddo Limestone
Bookpurnong Formation,Pata Formation
Jigaimara Formation,Wessel Group
Jigaimara Formation,Elcho Island Formation
Naningbura Formation,Jigaimara Formation
Slaughter Yard Creek Volcanics,Jumna Granite
Ooradidgee Group,Junalki Formation
Unimbra Sandstone,Junalki Formation
Saunders Creek Formation,Junda Microgranite
Mirrabooka Member,Kardinya Shale Member
Kardinya Shale Member,Wanneroo Member
Kardinya Shale Member,Pinjar Member
Molecap Greensand,Kardinya Shale Member
Gingin Chalk,Kardinya Shale Member
Kardinya Shale Member,Leederville Formation
Lancelin Formation,Kardinya Shale Member
Karlaya Limestone,Dey Dey Mudstone
Tanana Formation,Karlaya Limestone
Kazput Formation,Koolbye Formation
Beasley River Quartzite,Kazput Formation
Keppel Creek Formation,Julius River Member
Croles Hill Diamictite,Keppel Creek Formation
Carne Dacite Member,Kerillon Tuff Member
Kettle Conglomerate Member,Retreat Granite
Keynes Subgroup,Normanville Group
Bollaparudda Subgroup,Keynes Subgroup
Killara Formation,Finlayson Member
Maraloou Formation,Killara Formation
Killara Formation,Doolgunna Formation
Kindee Conglomerate,Cowangara Formation
Nevann Siltstone,Kindee Conglomerate
Coopers Creek Limestone,Boola Formation
Wilson Creek Shale,Boola Formation
Eildon Sandstone,Boola Formation
Koolbye Formation,Kungarra Formation
Yandenberry Formation,Koonenberry Formation
Koonenberry Formation,Noonthorangee Formation
Kudata Dolomite,Kunian Sandstone
Emanuel Formation,Kudata Dolomite
Lappa Rhyolite,Dalnotter Dacite
Hodgkinson Formation,Larramore Metabasalt Member
Larramore Metabasalt Member,Hodgkinson Formation
Fingoon Quartzite,Larry Formation
Donnellys Creek Siltstone,Lazarini Siltstone
Wahroonga Breccia,Licola Volcanics
Yarraden Schist,Lochs Gneiss
Goolha Goolha Schist,Lochs Gneiss
Lookout Top Ignimbrite,Plumb Gully Ignimbrite
Chewings Range Quartzite,Lovely Hill Schist
Lumma Rhyolite,Lightning Creek Rhyolite
Sheridan Member,Maidjunga Member
Maidjunga Member,Ritarango Formation
Tapanappa Formation,Malabena Sandstone Member
Malabena Sandstone Member,Backstairs Passage Formation
Malcolm Creek Hyaloclastite,Sheepyard Flat Boninite
Milton Grove Formation,Manfred Sandstone
Wanneroo Member,Mariginiup Member
Pinjar Member,Mariginiup Member
Mariginiup Member,Gage Formation
Mariginiup Member,Cattamarra Coal Measures
Mariginiup Member,Yarragadee Formation
Mariginiup Member,Parmelia Formation
Boolgeeda Iron Formation,Woongarra Rhyolite
Kungarra Formation,Boolgeeda Iron Formation
Boolgeeda Iron Formation,Woongarra Volcanics
Marroo Subgroup,Wombargo Subgroup
Marroo Subgroup,Windarra Formation
Marroo Subgroup,Deddick Lava
Falloch beds,McIlwraith Granite
McRaes Ignimbrite,Fairy Sandstone
Older Volcanics,McRaes Ignimbrite
Carmila beds,Boomer Formation
Boomer Formation,Glenprairie beds
Milky Creek Ignimbrite,Wulgulmerang Tuff
Milyakburra Formation,Bickerton Rhyolite
Earaheedy Group,Mooloogool Group
Tooloo Group,Mooloogool Group
Bryah Group,Mooloogool Group
Padbury Group,Mooloogool Group
Mooloogool Group,Windplain Group
Moomowroong Sand,Wiridjil Gravel
Moores Ford Andesite,Raymond Falls Lava
Moores Ford Andesite,Balley Hooley Ignimbrite
Buchan Caves Limestone,Moores Ford Andesite
Mougooderra Formation,Polelle Group
Meekatharra Formation,Mougooderra Formation
Mougooderra Formation,Yaloginda Formation
Mougooderra Formation,Norie Group
Sheepyard Flat Boninite,Mountain Chief Andesite
Muckaty Sandstone Member,Renner Group
Muckaty Sandstone Member,Gleeson Formation
Muckaty Sandstone Member,Baralandji Formation
Muckaty Sandstone Member,Powell Formation
Muckaty Sandstone Member,Wiernty Formation
Muirson Rhyolite,Bluewater Rhyolite
Eyre Formation,Mulligan Dam Regolith
Mulligan Dam Regolith,Marree Subgroup
Narana Formation,Munyarai Formation
Munyarai Formation,Tanana Formation
Douri Sandstone,Boonall Dolomite
Boonall Dolomite,Elvire Formation
Narana Formation,Tanana Formation
Marla Group,Narana Formation
Adaminaby Group,Narooma Chert
Pappinbarra Formation,Nevann Siltstone
Ngilipitji Conglomerate Member,Conway Formation
Ngilipitji Conglomerate Member,Zamia Creek Siltstone
Yarrawirrie Formation,Ngilipitji Conglomerate Member
Vaughan Springs Quartzite,Nicker beds
Betts Creek beds,Boonderoo beds
Boonderoo beds,Joe Joe Group
Aranbanga Beds,Boondooma Igneous Complex
Boongal Formation,Hardey Formation
Pando Formation,Lycosa Formation
Merrimelia Formation,Pando Formation
Pando Formation,Kalladeina Formation
Innamincka Formation,Pando Formation
Osborne Formation,Pinjar Member
Molecap Greensand,Pinjar Member
Gingin Chalk,Pinjar Member
Pinjar Member,Wanneroo Member
Mirrabooka Member,Pinjar Member
Plumb Gully Ignimbrite,Doyle Gully Ignimbrite
Coolbro Sandstone,Poynton Formation
Poynton Formation,Yandagooge Formation
Pratt Volcanics,Dargalong Metamorphics
Gilbert River Formation,Pratt Volcanics
Pratt Volcanics,Chillagoe Formation
Pratt Volcanics,Quadroy Conglomerate
McInnes Formation,Booral Formation
Johnsons Creek Conglomerate,Booral Formation
Booral Formation,Karuah Formation
Booral Formation,Faulkland Formation
Booral Formation,Salisbury Sandstone
White Hills Gravel,Pyrenees Formation
Newer Volcanic Group,Pyrenees Formation
Race Course Plains Coquina,Sandfire Calcilutite
Horseshoe Formation,Ravelstone Formation
Ravelstone Formation,Karalundi Formation
